Source Node,Source Tier,Target Node,Target Tier,Edge Type
Rolled Steel Shape Manufacturing ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Steel Wire Drawing ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Alumina Refining and Primary Aluminum Production ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Secondary Smelting and Alloying of Aluminum ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
"Aluminum Sheet, Plate, and Foil Manufacturing ",Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
"Other Aluminum Rolling, Drawing, and Extruding ",Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Nonferrous Metal (except Aluminum) Smelting and Refining ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Steel Investment Foundries ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Steel Foundries (except Investment) ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
